id,B_,Opt_T_,dt_T_,rf_T_,Gap_dt_,Gap_rf_
6,5,3.62,3.36,2.33,0.3385495034607282,0.3009328919650917
6,100,6.18,4.36,2.62,-17.462127382309824,-17.405114839550414
6,200,6.1,5.62,2.7,-33.903697334479794,-33.9810834049871
6,500,6.83,10.23,5.95,-71.44112478031634,-71.34348760007812
6,1000,7.35,22.83,9.78,-99.9537037037037,-100.0
6,2000,7.96,18.39,10.6,-100.0,-100.0
6,3000,8.36,8.38,5.97,-100.0,-100.0
6,4000,5.58,10.96,6.34,-100.0,-100.0
6,5000,6.46,10.39,6.34,-100.0,-100.0
6,7500,7.79,6.37,4.21,-100.0,-100.0
6,10000,10.23,1.14,0.66,-100.0,-100.0
6,15000,7.59,1.29,0.59,-,-
6,20000,10.51,0.92,0.62,-,-
7,5,8.51,6.52,3.93,-0.0448059557455021,0.1206314193148135
7,100,11.61,9.1,4.23,-6.970266946393691,-7.028141503291615
7,200,38.25,9.65,7.95,-13.590666966764198,-13.7407157326131
7,500,11.6,14.67,13.33,-32.73816803228568,-32.69332681097387
7,1000,18.1,19.31,26.13,-59.86943512557802,-59.81503309456886
7,2000,15.3,55.62,50.33,-94.19282391315971,-94.29442275814128
7,3000,13.51,73.7,53.76,-100.0,-100.0
7,4000,13.6,71.59,38.79,-100.0,-100.0
7,5000,16.36,50.39,33.76,-100.0,-100.0
7,7500,17.2,47.47,25.15,-100.0,-100.0
7,10000,22.42,19.15,24.2,-100.0,-100.0
7,15000,26.43,2.57,2.35,-100.0,-100.0
7,20000,29.86,2.52,1.93,-100.0,-100.0
8,5,6.82,6.69,5.04,-0.0448059557455021,0.1206314193148135
8,100,10.56,8.82,5.29,-6.970266946393691,-7.028141503291615
8,200,25.87,7.08,6.44,-13.590666966764198,-13.7407157326131
8,500,8.69,14.84,15.4,-32.73816803228568,-32.69332681097387
8,1000,10.02,16.62,27.66,-59.86943512557802,-59.81503309456886
8,2000,17.02,74.8,53.41,-94.19282391315971,-94.29442275814128
8,3000,14.03,65.78,61.34,-100.0,-100.0
8,4000,13.04,66.07,41.4,-100.0,-100.0
8,5000,16.9,26.45,33.8,-100.0,-100.0
8,7500,19.84,32.64,26.85,-100.0,-100.0
8,10000,18.89,14.85,21.82,-100.0,-100.0
8,15000,27.19,2.19,1.95,-100.0,-100.0
8,20000,29.15,2.02,2.07,-100.0,-100.0
