id,B_U,dt_U,rf_U,B_,dt_,rf_
1,1,7.7/6,4.7/7,5,-83.38/0,-88.16/0
1,2,5.23/8,6.4/8,10,-100.0/0,-100.0/0
1,3,18.87/6,8.04/8,20,-100.0/0,-100.0/0
1,4,30.0/7,18.33/8,30,-100.0/0,-100.0/0
1,5,-/0,-/0,40,-100.0/0,-100.0/0
1,6,-/0,-/0,80,-100.0/1,-100.0/1
1,7,-/0,-/0,120,-100.0/8,-100.0/8
1,8,-/0,-/0,150,-/10,-/10
1,9,-/0,-/0,200,-/10,-/10
2,1,7.37/6,5.01/7,5,-76.74/0,-80.23/0
2,2,13.44/4,12.85/5,10,-100.0/0,-100.0/0
2,3,36.85/4,34.17/6,20,-100.0/0,-100.0/0
2,4,47.08/7,91.67/7,30,-100.0/0,-100.0/0
2,5,-/0,-/0,40,-100.0/0,-100.0/0
2,6,-/0,-/0,80,-100.0/1,-100.0/1
2,7,-/0,-/0,120,-100.0/8,-100.0/8
2,8,-/0,-/0,150,-/10,-/10
2,9,-/0,-/0,200,-/10,-/10
3,1,2.99/6,0.19/9,5,-53.78/0,-53.78/0
3,2,3.64/5,0.39/8,10,-99.02/0,-99.02/0
3,3,4.04/6,0.14/9,20,-100.0/0,-100.0/0
3,4,2.68/8,0.52/9,30,-100.0/0,-100.0/0
3,5,7.54/6,0.89/9,40,-100.0/0,-100.0/0
3,6,4.72/8,2.5/9,80,-100.0/0,-100.0/0
3,7,35.0/6,5.0/9,120,-100.0/0,-100.0/0
3,8,-/0,-/0,150,-100.0/1,-100.0/1
3,9,-/0,-/0,200,-100.0/6,-100.0/6
4,1,1.65/4,4.28/5,5,-37.4/0,-38.53/0
4,2,4.82/1,7.09/5,10,-86.21/0,-88.08/0
4,3,5.91/4,15.72/3,20,-100.0/0,-100.0/0
4,4,9.19/3,33.12/1,30,-100.0/0,-100.0/0
4,5,9.65/3,41.39/2,40,-100.0/0,-100.0/0
4,6,9.45/4,63.82/2,80,-100.0/0,-100.0/0
4,7,9.88/4,104.96/1,120,-100.0/0,-100.0/0
4,8,10.78/6,165.57/1,150,-100.0/0,-100.0/0
4,9,9.71/7,295.47/0,200,-100.0/0,-100.0/0
5,1,0.82/1,0.7/3,5,-10.92/0,-12.84/0
5,2,1.85/1,1.47/1,10,-38.36/0,-40.62/0
5,3,2.09/1,1.59/1,20,-78.28/0,-79.85/0
5,4,2.03/0,2.12/1,30,-99.8/0,-99.73/0
5,5,2.33/2,4.14/1,40,-100.0/0,-100.0/0
5,6,3.0/1,6.55/1,80,-100.0/0,-100.0/0
5,7,4.75/1,11.55/2,120,-100.0/0,-100.0/0
5,8,5.94/0,18.53/2,150,-100.0/0,-100.0/0
5,9,7.2/2,26.6/3,200,-100.0/0,-100.0/0
