id,k,B_,Opt_,ObjVal_dt_,ObjVal_rf_,Gap_dt_,Gap_rf_
1,1,5,17,0,0,-100.0,-100.0
1,2,5,39,2,0,-94.87179487179486,-100.0
1,3,5,52,8,8,-84.61538461538461,-84.61538461538461
1,4,5,30,0,0,-100.0,-100.0
1,5,5,41,12,10,-70.73170731707317,-75.60975609756098
1,6,5,104,17,17,-83.65384615384616,-83.65384615384616
1,7,5,64,0,0,-100.0,-100.0
1,8,5,54,9,9,-83.33333333333334,-83.33333333333334
1,9,5,75,20,20,-73.33333333333333,-73.33333333333333
1,10,5,74,42,14,-43.24324324324324,-81.08108108108108
1,1,10,17,0,0,-100.0,-100.0
1,2,10,33,0,0,-100.0,-100.0
1,3,10,50,0,0,-100.0,-100.0
1,4,10,25,0,0,-100.0,-100.0
1,5,10,36,0,0,-100.0,-100.0
1,6,10,67,0,0,-100.0,-100.0
1,7,10,50,0,0,-100.0,-100.0
1,8,10,40,0,0,-100.0,-100.0
1,9,10,73,0,0,-100.0,-100.0
1,10,10,70,0,0,-100.0,-100.0
1,1,20,14,0,0,-100.0,-100.0
1,2,20,19,0,0,-100.0,-100.0
1,3,20,32,0,0,-100.0,-100.0
1,4,20,17,0,0,-100.0,-100.0
1,5,20,33,0,0,-100.0,-100.0
1,6,20,66,0,0,-100.0,-100.0
1,7,20,34,0,0,-100.0,-100.0
1,8,20,37,0,0,-100.0,-100.0
1,9,20,54,0,0,-100.0,-100.0
1,10,20,70,0,0,-100.0,-100.0
1,1,30,13,0,0,-100.0,-100.0
1,2,30,19,0,0,-100.0,-100.0
1,3,30,26,0,0,-100.0,-100.0
1,4,30,13,0,0,-100.0,-100.0
1,5,30,27,0,0,-100.0,-100.0
1,6,30,45,0,0,-100.0,-100.0
1,7,30,19,0,0,-100.0,-100.0
1,8,30,31,0,0,-100.0,-100.0
1,9,30,49,0,0,-100.0,-100.0
1,10,30,42,0,0,-100.0,-100.0
1,1,40,11,0,0,-100.0,-100.0
1,2,40,9,0,0,-100.0,-100.0
1,3,40,21,0,0,-100.0,-100.0
1,4,40,9,0,0,-100.0,-100.0
1,5,40,21,0,0,-100.0,-100.0
1,6,40,44,0,0,-100.0,-100.0
1,7,40,11,0,0,-100.0,-100.0
1,8,40,22,0,0,-100.0,-100.0
1,9,40,40,0,0,-100.0,-100.0
1,10,40,42,0,0,-100.0,-100.0
1,1,80,5,0,0,-100.0,-100.0
1,2,80,5,0,0,-100.0,-100.0
1,3,80,9,0,0,-100.0,-100.0
1,4,80,2,0,0,-100.0,-100.0
1,5,80,10,0,0,-100.0,-100.0
1,6,80,21,0,0,-100.0,-100.0
1,7,80,0,0,0,,
1,8,80,1,0,0,-100.0,-100.0
1,9,80,10,0,0,-100.0,-100.0
1,10,80,5,0,0,-100.0,-100.0
1,1,120,1,0,0,-100.0,-100.0
1,2,120,0,0,0,,
1,3,120,0,0,0,,
1,4,120,0,0,0,,
1,5,120,1,0,0,-100.0,-100.0
1,6,120,0,0,0,,
1,7,120,0,0,0,,
1,8,120,0,0,0,,
1,9,120,0,0,0,,
1,10,120,0,0,0,,
1,1,150,0,0,0,,
1,2,150,0,0,0,,
1,3,150,0,0,0,,
1,4,150,0,0,0,,
1,5,150,0,0,0,,
1,6,150,0,0,0,,
1,7,150,0,0,0,,
1,8,150,0,0,0,,
1,9,150,0,0,0,,
1,10,150,0,0,0,,
1,1,200,0,0,0,,
1,2,200,0,0,0,,
1,3,200,0,0,0,,
1,4,200,0,0,0,,
1,5,200,0,0,0,,
1,6,200,0,0,0,,
1,7,200,0,0,0,,
1,8,200,0,0,0,,
1,9,200,0,0,0,,
1,10,200,0,0,0,,
2,1,5,26,0,0,-100.0,-100.0
2,2,5,41,0,0,-100.0,-100.0
2,3,5,54,8,8,-85.18518518518519,-85.18518518518519
2,4,5,30,0,0,-100.0,-100.0
2,5,5,41,10,10,-75.60975609756098,-75.60975609756098
2,6,5,113,48,48,-57.52212389380531,-57.52212389380531
2,7,5,93,22,18,-76.34408602150538,-80.64516129032258
2,8,5,55,9,9,-83.63636363636363,-83.63636363636363
2,9,5,85,46,20,-45.88235294117647,-76.47058823529412
2,10,5,74,42,42,-43.24324324324324,-43.24324324324324
2,1,10,26,0,0,-100.0,-100.0
2,2,10,36,0,0,-100.0,-100.0
2,3,10,54,0,0,-100.0,-100.0
2,4,10,25,0,0,-100.0,-100.0
2,5,10,38,0,0,-100.0,-100.0
2,6,10,76,0,0,-100.0,-100.0
2,7,10,58,0,0,-100.0,-100.0
2,8,10,40,0,0,-100.0,-100.0
2,9,10,72,0,0,-100.0,-100.0
2,10,10,63,0,0,-100.0,-100.0
2,1,20,13,0,0,-100.0,-100.0
2,2,20,19,0,0,-100.0,-100.0
2,3,20,36,0,0,-100.0,-100.0
2,4,20,21,0,0,-100.0,-100.0
2,5,20,32,0,0,-100.0,-100.0
2,6,20,55,0,0,-100.0,-100.0
2,7,20,50,0,0,-100.0,-100.0
2,8,20,37,0,0,-100.0,-100.0
2,9,20,61,0,0,-100.0,-100.0
2,10,20,56,0,0,-100.0,-100.0
2,1,30,13,0,0,-100.0,-100.0
2,2,30,14,0,0,-100.0,-100.0
2,3,30,30,0,0,-100.0,-100.0
2,4,30,12,0,0,-100.0,-100.0
2,5,30,23,0,0,-100.0,-100.0
2,6,30,46,0,0,-100.0,-100.0
2,7,30,32,0,0,-100.0,-100.0
2,8,30,31,0,0,-100.0,-100.0
2,9,30,48,0,0,-100.0,-100.0
2,10,30,26,0,0,-100.0,-100.0
2,1,40,9,0,0,-100.0,-100.0
2,2,40,9,0,0,-100.0,-100.0
2,3,40,28,0,0,-100.0,-100.0
2,4,40,12,0,0,-100.0,-100.0
2,5,40,22,0,0,-100.0,-100.0
2,6,40,39,0,0,-100.0,-100.0
2,7,40,24,0,0,-100.0,-100.0
2,8,40,22,0,0,-100.0,-100.0
2,9,40,39,0,0,-100.0,-100.0
2,10,40,24,0,0,-100.0,-100.0
2,1,80,4,0,0,-100.0,-100.0
2,2,80,5,0,0,-100.0,-100.0
2,3,80,12,0,0,-100.0,-100.0
2,4,80,4,0,0,-100.0,-100.0
2,5,80,11,0,0,-100.0,-100.0
2,6,80,1,0,0,-100.0,-100.0
2,7,80,0,0,0,,
2,8,80,12,0,0,-100.0,-100.0
2,9,80,9,0,0,-100.0,-100.0
2,10,80,3,0,0,-100.0,-100.0
2,1,120,1,0,0,-100.0,-100.0
2,2,120,0,0,0,,
2,3,120,0,0,0,,
2,4,120,0,0,0,,
2,5,120,3,0,0,-100.0,-100.0
2,6,120,0,0,0,,
2,7,120,0,0,0,,
2,8,120,0,0,0,,
2,9,120,0,0,0,,
2,10,120,0,0,0,,
2,1,150,0,0,0,,
2,2,150,0,0,0,,
2,3,150,0,0,0,,
2,4,150,0,0,0,,
2,5,150,0,0,0,,
2,6,150,0,0,0,,
2,7,150,0,0,0,,
2,8,150,0,0,0,,
2,9,150,0,0,0,,
2,10,150,0,0,0,,
2,1,200,0,0,0,,
2,2,200,0,0,0,,
2,3,200,0,0,0,,
2,4,200,0,0,0,,
2,5,200,0,0,0,,
2,6,200,0,0,0,,
2,7,200,0,0,0,,
2,8,200,0,0,0,,
2,9,200,0,0,0,,
2,10,200,0,0,0,,
3,1,5,58,8,8,-86.20689655172413,-86.20689655172413
3,2,5,66,22,22,-66.66666666666666,-66.66666666666666
3,3,5,106,52,52,-50.943396226415096,-50.943396226415096
3,4,5,55,9,9,-83.63636363636363,-83.63636363636363
3,5,5,77,37,37,-51.94805194805194,-51.94805194805194
3,6,5,213,138,138,-35.2112676056338,-35.2112676056338
3,7,5,120,45,45,-62.5,-62.5
3,8,5,126,37,37,-70.63492063492063,-70.63492063492063
3,9,5,121,91,91,-24.793388429752067,-24.793388429752067
3,10,5,151,143,143,-5.298013245033113,-5.298013245033113
3,1,10,57,0,0,-100.0,-100.0
3,2,10,64,0,0,-100.0,-100.0
3,3,10,88,0,0,-100.0,-100.0
3,4,10,50,0,0,-100.0,-100.0
3,5,10,75,0,0,-100.0,-100.0
3,6,10,176,0,0,-100.0,-100.0
3,7,10,85,0,0,-100.0,-100.0
3,8,10,101,0,0,-100.0,-100.0
3,9,10,111,0,0,-100.0,-100.0
3,10,10,143,14,14,-90.20979020979021,-90.20979020979021
3,1,20,45,0,0,-100.0,-100.0
3,2,20,46,0,0,-100.0,-100.0
3,3,20,70,0,0,-100.0,-100.0
3,4,20,50,0,0,-100.0,-100.0
3,5,20,57,0,0,-100.0,-100.0
3,6,20,166,0,0,-100.0,-100.0
3,7,20,64,0,0,-100.0,-100.0
3,8,20,90,0,0,-100.0,-100.0
3,9,20,102,0,0,-100.0,-100.0
3,10,20,101,0,0,-100.0,-100.0
3,1,30,44,0,0,-100.0,-100.0
3,2,30,44,0,0,-100.0,-100.0
3,3,30,52,0,0,-100.0,-100.0
3,4,30,42,0,0,-100.0,-100.0
3,5,30,55,0,0,-100.0,-100.0
3,6,30,145,0,0,-100.0,-100.0
3,7,30,60,0,0,-100.0,-100.0
3,8,30,65,0,0,-100.0,-100.0
3,9,30,84,0,0,-100.0,-100.0
3,10,30,85,0,0,-100.0,-100.0
3,1,40,42,0,0,-100.0,-100.0
3,2,40,34,0,0,-100.0,-100.0
3,3,40,48,0,0,-100.0,-100.0
3,4,40,37,0,0,-100.0,-100.0
3,5,40,41,0,0,-100.0,-100.0
3,6,40,125,0,0,-100.0,-100.0
3,7,40,60,0,0,-100.0,-100.0
3,8,40,59,0,0,-100.0,-100.0
3,9,40,78,0,0,-100.0,-100.0
3,10,40,69,0,0,-100.0,-100.0
3,1,80,26,0,0,-100.0,-100.0
3,2,80,17,0,0,-100.0,-100.0
3,3,80,24,0,0,-100.0,-100.0
3,4,80,24,0,0,-100.0,-100.0
3,5,80,28,0,0,-100.0,-100.0
3,6,80,83,0,0,-100.0,-100.0
3,7,80,34,0,0,-100.0,-100.0
3,8,80,31,0,0,-100.0,-100.0
3,9,80,47,0,0,-100.0,-100.0
3,10,80,25,0,0,-100.0,-100.0
3,1,120,13,0,0,-100.0,-100.0
3,2,120,9,0,0,-100.0,-100.0
3,3,120,8,0,0,-100.0,-100.0
3,4,120,14,0,0,-100.0,-100.0
3,5,120,19,0,0,-100.0,-100.0
3,6,120,53,0,0,-100.0,-100.0
3,7,120,10,0,0,-100.0,-100.0
3,8,120,15,0,0,-100.0,-100.0
3,9,120,17,0,0,-100.0,-100.0
3,10,120,3,0,0,-100.0,-100.0
3,1,150,9,0,0,-100.0,-100.0
3,2,150,6,0,0,-100.0,-100.0
3,3,150,1,0,0,-100.0,-100.0
3,4,150,6,0,0,-100.0,-100.0
3,5,150,9,0,0,-100.0,-100.0
3,6,150,34,0,0,-100.0,-100.0
3,7,150,4,0,0,-100.0,-100.0
3,8,150,3,0,0,-100.0,-100.0
3,9,150,9,0,0,-100.0,-100.0
3,10,150,0,0,0,,
3,1,200,2,0,0,-100.0,-100.0
3,2,200,0,0,0,,
3,3,200,0,0,0,,
3,4,200,2,0,0,-100.0,-100.0
3,5,200,2,0,0,-100.0,-100.0
3,6,200,13,0,0,-100.0,-100.0
3,7,200,0,0,0,,
3,8,200,0,0,0,,
3,9,200,0,0,0,,
3,10,200,0,0,0,,
4,1,5,87,25,25,-71.26436781609196,-71.26436781609196
