id,k,B_U,Opt_U,ObjVal_dt_U,ObjVal_rf_U,Gap_dt_U,Gap_rf_U
1,1,1,17,20,20,17.647058823529413,17.647058823529413
1,2,1,21,21,21,0.0,0.0
1,3,1,52,52,52,0.0,0.0
1,4,1,20,25,20,25.0,0.0
1,5,1,38,47,41,23.684210526315788,7.894736842105263
1,6,1,78,78,78,0.0,0.0
1,7,1,56,62,68,10.714285714285714,21.428571428571427
1,8,1,40,40,40,0.0,0.0
1,9,1,78,78,78,0.0,0.0
1,10,1,111,111,111,0.0,0.0
1,1,2,12,12,12,0.0,0.0
1,2,2,11,11,11,0.0,0.0
1,3,2,34,34,34,0.0,0.0
1,4,2,12,12,12,0.0,0.0
1,5,2,26,35,35,34.61538461538461,34.61538461538461
1,6,2,41,41,41,0.0,0.0
1,7,2,34,40,44,17.647058823529413,29.411764705882355
1,8,2,25,25,25,0.0,0.0
1,9,2,48,48,48,0.0,0.0
1,10,2,74,74,74,0.0,0.0
1,1,3,7,7,7,0.0,0.0
1,2,3,5,5,5,0.0,0.0
1,3,3,20,20,20,0.0,0.0
1,4,3,7,7,7,0.0,0.0
1,5,3,14,20,20,42.857142857142854,42.857142857142854
1,6,3,18,24,18,33.33333333333333,0.0
1,7,3,16,28,22,75.0,37.5
1,8,3,12,12,12,0.0,0.0
1,9,3,24,33,24,37.5,0.0
1,10,3,42,42,42,0.0,0.0
1,1,4,3,3,3,0.0,0.0
1,2,4,2,5,5,150.0,150.0
1,3,4,8,12,8,50.0,0.0
1,4,4,3,3,3,0.0,0.0
1,5,4,6,12,8,100.0,33.33333333333333
1,6,4,1,1,1,0.0,0.0
1,7,4,4,4,4,0.0,0.0
1,8,4,3,3,3,0.0,0.0
1,9,4,9,9,9,0.0,0.0
1,10,4,14,14,14,0.0,0.0
1,1,5,,3,0,,
1,2,5,,5,5,,
1,3,5,,0,0,,
1,4,5,,3,3,,
1,5,5,,0,0,,
1,6,5,,1,1,,
1,7,5,,4,4,,
1,8,5,,3,3,,
1,9,5,,0,0,,
1,10,5,,0,0,,
1,1,6,,1,0,,
1,2,6,,3,5,,
1,3,6,,0,0,,
1,4,6,,3,3,,
1,5,6,,0,0,,
1,6,6,,1,1,,
1,7,6,,4,4,,
1,8,6,,3,3,,
1,9,6,,0,0,,
1,10,6,,0,0,,
1,1,7,,1,0,,
1,2,7,,3,5,,
1,3,7,,0,0,,
1,4,7,,3,3,,
1,5,7,,0,0,,
1,6,7,,1,1,,
1,7,7,,4,0,,
1,8,7,,3,3,,
1,9,7,,0,0,,
1,10,7,,0,0,,
1,1,8,,1,0,,
1,2,8,,3,3,,
1,3,8,,0,0,,
1,4,8,,3,0,,
1,5,8,,0,0,,
1,6,8,,1,1,,
1,7,8,,4,0,,
1,8,8,,3,3,,
1,9,8,,0,0,,
1,10,8,,0,0,,
1,1,9,,1,0,,
1,2,9,,3,0,,
1,3,9,,0,0,,
1,4,9,,3,0,,
1,5,9,,0,0,,
1,6,9,,1,1,,
1,7,9,,0,0,,
1,8,9,,3,3,,
1,9,9,,0,0,,
1,10,9,,0,0,,
2,1,1,25,25,25,0.0,0.0
2,2,1,21,21,21,0.0,0.0
2,3,1,54,55,55,1.8518518518518516,1.8518518518518516
2,4,1,20,20,20,0.0,0.0
2,5,1,41,52,52,26.82926829268293,26.82926829268293
2,6,1,87,87,87,0.0,0.0
2,7,1,72,89,72,23.61111111111111,0.0
2,8,1,40,40,40,0.0,0.0
2,9,1,70,85,85,21.428571428571427,21.428571428571427
2,10,1,111,111,111,0.0,0.0
2,1,2,12,12,12,0.0,0.0
2,2,2,11,11,11,0.0,0.0
2,3,2,36,39,36,8.333333333333332,0.0
2,4,2,12,12,12,0.0,0.0
2,5,2,26,37,35,42.30769230769231,34.61538461538461
2,6,2,50,70,55,40.0,10.0
2,7,2,46,54,48,17.391304347826086,4.3478260869565215
2,8,2,25,25,40,0.0,60.0
2,9,2,46,55,55,19.565217391304348,19.565217391304348
2,10,2,74,79,74,6.756756756756757,0.0
2,1,3,7,7,7,0.0,0.0
2,2,3,5,5,5,0.0,0.0
2,3,3,20,31,20,55.00000000000001,0.0
2,4,3,7,7,7,0.0,0.0
2,5,3,14,29,20,107.14285714285714,42.857142857142854
2,6,3,18,38,18,111.11111111111111,0.0
2,7,3,22,30,30,36.36363636363637,36.36363636363637
2,8,3,12,12,40,0.0,233.33333333333334
2,9,3,24,33,31,37.5,29.166666666666668
2,10,3,42,51,42,21.428571428571427,0.0
2,1,4,3,3,3,0.0,0.0
2,2,4,2,5,5,150.0,150.0
2,3,4,8,19,8,137.5,0.0
2,4,4,3,3,3,0.0,0.0
2,5,4,6,17,8,183.33333333333331,33.33333333333333
2,6,4,1,1,1,0.0,0.0
2,7,4,4,4,4,0.0,0.0
2,8,4,3,3,25,0.0,733.3333333333333
2,9,4,9,9,9,0.0,0.0
2,10,4,14,14,14,0.0,0.0
2,1,5,,3,0,,
2,2,5,,5,5,,
2,3,5,,0,0,,
2,4,5,,3,3,,
2,5,5,,0,0,,
2,6,5,,1,1,,
2,7,5,,4,4,,
2,8,5,,3,12,,
2,9,5,,0,0,,
2,10,5,,0,0,,
2,1,6,,3,0,,
2,2,6,,5,2,,
2,3,6,,0,0,,
2,4,6,,3,3,,
2,5,6,,0,0,,
2,6,6,,1,1,,
2,7,6,,4,0,,
2,8,6,,3,12,,
2,9,6,,0,0,,
2,10,6,,0,0,,
2,1,7,,3,0,,
2,2,7,,5,2,,
2,3,7,,0,0,,
2,4,7,,3,0,,
2,5,7,,0,0,,
2,6,7,,1,1,,
2,7,7,,4,0,,
2,8,7,,3,12,,
2,9,7,,0,0,,
2,10,7,,0,0,,
2,1,8,,3,0,,
2,2,8,,5,2,,
2,3,8,,0,0,,
2,4,8,,3,0,,
2,5,8,,0,0,,
2,6,8,,1,1,,
2,7,8,,4,0,,
2,8,8,,3,3,,
2,9,8,,0,0,,
2,10,8,,0,0,,
2,1,9,,3,0,,
2,2,9,,5,2,,
2,3,9,,0,0,,
2,4,9,,3,0,,
2,5,9,,0,0,,
2,6,9,,1,1,,
2,7,9,,4,0,,
2,8,9,,3,3,,
2,9,9,,0,0,,
2,10,9,,0,0,,
3,1,1,44,44,44,0.0,0.0
3,2,1,66,66,66,0.0,0.0
3,3,1,107,109,109,1.8691588785046727,1.8691588785046727
3,4,1,45,50,45,11.11111111111111,0.0
3,5,1,74,74,74,0.0,0.0
3,6,1,182,187,182,2.7472527472527473,0.0
3,7,1,99,113,99,14.14141414141414,0.0
3,8,1,93,93,93,0.0,0.0
3,9,1,157,157,157,0.0,0.0
3,10,1,183,183,183,0.0,0.0
3,1,2,30,31,30,3.3333333333333335,0.0
3,2,2,46,46,46,0.0,0.0
3,3,2,88,93,89,5.681818181818182,1.1363636363636365
3,4,2,32,37,32,15.625,0.0
3,5,2,57,57,57,0.0,0.0
3,6,2,139,139,139,0.0,0.0
3,7,2,73,78,75,6.8493150684931505,2.73972602739726
3,8,2,67,67,67,0.0,0.0
3,9,2,121,127,121,4.958677685950414,0.0
3,10,2,146,146,146,0.0,0.0
3,1,3,17,17,17,0.0,0.0
3,2,3,27,27,27,0.0,0.0
3,3,3,70,74,71,5.714285714285714,1.4285714285714286
3,4,3,22,24,22,9.090909090909092,0.0
3,5,3,41,41,41,0.0,0.0
3,6,3,102,102,102,0.0,0.0
3,7,3,49,54,49,10.204081632653061,0.0
3,8,3,42,42,42,0.0,0.0
3,9,3,91,105,91,15.384615384615385,0.0
3,10,3,109,109,109,0.0,0.0
3,1,4,12,12,12,0.0,0.0
3,2,4,17,17,17,0.0,0.0
3,3,4,52,54,52,3.8461538461538463,0.0
3,4,4,14,14,14,0.0,0.0
3,5,4,26,26,26,0.0,0.0
3,6,4,70,70,70,0.0,0.0
3,7,4,28,28,28,0.0,0.0
3,8,4,27,27,27,0.0,0.0
3,9,4,61,75,61,22.950819672131146,0.0
3,10,4,77,77,81,0.0,5.194805194805195
3,1,5,8,8,8,0.0,0.0
3,2,5,11,11,11,0.0,0.0
3,3,5,36,38,36,5.555555555555555,0.0
3,4,5,9,9,9,0.0,0.0
3,5,5,14,18,14,28.57142857142857,0.0
3,6,5,39,53,39,35.8974358974359,0.0
3,7,5,14,14,14,0.0,0.0
3,8,5,14,14,14,0.0,0.0
3,9,5,37,39,37,5.405405405405405,0.0
3,10,5,45,45,49,0.0,8.88888888888889
3,1,6,4,4,4,0.0,0.0
3,2,6,5,5,5,0.0,0.0
3,3,6,20,20,20,0.0,0.0
3,4,6,5,5,5,0.0,0.0
3,5,6,6,6,6,0.0,0.0
3,6,6,18,22,18,22.22222222222222,0.0
3,7,6,8,10,10,25.0,25.0
3,8,6,5,5,5,0.0,0.0
3,9,6,15,15,15,0.0,0.0
3,10,6,17,17,17,0.0,0.0
3,1,7,1,3,1,200.0,0.0
3,2,7,2,3,2,50.0,0.0
3,3,7,8,12,8,50.0,0.0
3,4,7,2,2,2,0.0,0.0
3,5,7,2,2,2,0.0,0.0
3,6,7,1,1,1,0.0,0.0
3,7,7,4,6,6,50.0,50.0
3,8,7,2,2,2,0.0,0.0
3,9,7,6,6,6,0.0,0.0
3,10,7,3,3,3,0.0,0.0
3,1,8,,0,0,,
3,2,8,,0,2,,
3,3,8,,0,0,,
3,4,8,,0,0,,
3,5,8,,0,0,,
3,6,8,,0,0,,
3,7,8,,0,0,,
3,8,8,,0,0,,
3,9,8,,0,0,,
3,10,8,,0,0,,
3,1,9,,0,0,,
3,2,9,,0,0,,
3,3,9,,0,0,,
3,4,9,,0,0,,
3,5,9,,0,0,,
3,6,9,,0,0,,
3,7,9,,0,0,,
3,8,9,,0,0,,
3,9,9,,0,0,,
3,10,9,,0,0,,
4,1,1,72,73,72,1.3888888888888888,0.0
4,2,1,129,131,129,1.550387596899225,0.0
4,3,1,161,165,161,2.484472049689441,0.0
