id,k,|N|,|A|,Level 0,Level 1,Level 2,Level 3,Level 4
1,1,42,65,1,5,10,25,1
1,2,42,65,1,5,10,25,1
1,3,42,65,1,5,10,25,1
1,4,42,65,1,5,10,25,1
1,5,42,65,1,5,10,25,1
1,6,42,65,1,5,10,25,1
1,7,42,66,1,5,10,25,1
1,8,42,65,1,5,10,25,1
1,9,42,66,1,5,10,25,1
1,10,42,65,1,5,10,25,1
3,1,87,136,1,8,27,50,1
3,2,87,136,1,8,27,50,1
3,3,87,136,1,8,27,50,1
3,4,87,136,1,8,27,50,1
3,5,87,136,1,8,27,50,1
3,6,87,136,1,8,27,50,1
3,7,87,137,1,8,27,50,1
3,8,87,136,1,8,27,50,1
3,9,87,138,1,8,27,50,1
3,10,87,137,1,8,27,50,1
